Région,Consommation brute (MWh),TMoy (°C),TMin (°C),TMax (°C),Cluster
Auvergne-Rhône-Alpes,5286702.430555556,12.74433029025735,7.421977136375808,18.06667550337015,1
Bourgogne-Franche-Comté,1712951.388888889,12.463491986751519,7.309276932436319,17.617686898306317,2
Bretagne,1838041.125,12.86091116111891,9.607202605426517,16.114554111876956,2
Centre-Val de Loire,1483888.2777777778,12.866268607597016,7.874911535794229,17.857587719820962,2
Corse,191609.90277777778,17.38641204089935,13.658277617767537,21.114844621412093,0
Grand Est,3679593.472222222,11.963617551835961,6.959841132306031,16.967371528697374,2
Hauts-de-France,4038378.9166666665,11.946611053139584,8.017023837626759,15.876230442849492,2
Normandie,2243930.527777778,12.168053312616605,8.65126207919146,15.684881647230021,2
Nouvelle-Aquitaine,3546781.736111111,14.103323361047597,9.274110220326131,18.932519125392606,1
Occitanie,3124873.25,14.275791046913476,9.276770206817552,19.27480710413212,1
Pays de la Loire,2211544.8194444445,13.415301634605763,9.170003440698366,17.660590550273376,2
Provence-Alpes-Côte d'Azur,3327675.347222222,15.248358661176537,10.327632441150563,20.169106930613673,1
Île-de-France,5648745.027777778,12.994201582694394,8.715783597644503,17.272637578184312,1
